date,mean_2m_air_temperature,total_precipitation
1980-10-05,299.0668945,1.86E-09
1980-10-06,299.2870483,4.28E-08
1980-10-07,300.7849731,1.56E-06
1980-10-08,295.4168396,3.19E-05
1980-10-09,299.3482056,4.28E-08
1980-10-10,297.9353943,0
1980-10-11,296.3607178,0
1980-10-12,297.8788452,4.47E-08
1980-10-13,296.0619812,4.28E-08
1980-10-14,297.4506531,0
1980-10-15,300.4241638,0
1980-10-16,302.1417542,0
1980-10-17,302.2578125,0
1980-10-18,295.3487854,0.008243568
1980-10-19,295.2286987,3.86E-04
1980-10-20,292.6979065,6.74E-04
1980-10-21,295.3580627,2.92E-04
1980-10-22,297.3989563,0.001235877
1980-10-23,296.7192078,0.013734506
1980-10-24,291.0331116,0.001580264
1980-10-25,292.7423401,6.80E-04
1980-10-26,295.0871582,0.008050144
1980-10-27,296.3676758,5.76E-04
1980-10-28,297.059845,4.28E-08
1980-10-29,298.7870483,0
1980-10-30,296.1111145,0
1980-10-31,294.7552795,0
1980-11-01,297.2131042,0
1980-11-02,294.7354431,1.03E-04
1980-11-03,292.716156,3.97E-05
1980-11-04,296.8139343,2.33E-08
1980-11-05,301.41745,1.05E-04
1980-11-06,300.8198242,2.77E-04
1980-11-07,300.1689758,0.002116197
1980-11-08,297.0045471,0.001438438
1980-11-09,294.8789978,7.36E-04
1980-11-10,297.7610474,1.42E-04
1980-11-11,300.2175903,4.42E-05
1980-11-12,301.0174866,0.00184062
1980-11-13,301.6110535,0.002113897
1980-11-14,301.7734985,1.04E-05
1980-11-15,296.5352173,8.92E-04
1980-11-16,296.6022034,5.16E-05
1980-11-17,301.0003967,0
1980-11-18,303.0664978,3.73E-04
1980-11-19,302.2002563,0.003016662
1980-11-20,297.5280457,0.021239702
1980-11-21,294.6130371,0.002232611
1980-11-22,295.6424866,0.010170728
1980-11-23,297.5868835,0.013674662
1980-11-24,296.1132813,0.011636028
1980-11-25,296.1997375,0.006515312
1980-11-26,297.4843445,3.64E-04
1980-11-27,300.5832825,1.17E-04
1980-11-28,298.15802,0.010514786
1980-11-29,297.1877136,0.007789576
1980-11-30,295.601532,0.004769338
1980-12-01,295.5711975,9.09E-04
1980-12-02,296.9664001,0.004924782
1980-12-03,298.2693787,5.78E-04
1980-12-04,295.8953552,2.59E-04
1980-12-05,295.2132263,2.72E-04
1980-12-06,295.4715271,2.45E-04
1980-12-07,296.5345764,0
1980-12-08,299.1637878,3.95E-06
1980-12-09,297.8348999,5.85E-04
1980-12-10,299.9432068,6.17E-05
1980-12-11,301.0183411,2.12E-06
1980-12-12,301.4236755,1.50E-04
1980-12-13,299.7434998,0.003873903
1980-12-14,297.8182678,0.016971745
1980-12-15,296.3296204,0.012959652
1980-12-16,298.664032,0.002563609
1980-12-17,298.027832,0.003534602
1980-12-18,300.1542969,0.009723058
1980-12-19,299.2976074,0.00348253
1980-12-20,298.4225464,8.35E-04
1980-12-21,300.047821,1.01E-04
1980-12-22,302.056488,5.54E-06
1980-12-23,301.6017151,4.12E-04
1980-12-24,300.8694763,1.00E-04
1980-12-25,300.2507324,6.93E-04
1980-12-26,298.5349121,0.001746611
1980-12-27,299.9127197,0.001096226
1980-12-28,301.0278625,4.30E-04
1980-12-29,301.4479065,9.09E-04
1980-12-30,300.6821594,1.98E-04
1980-12-31,302.0166626,1.40E-05
1981-01-01,302.9920959,0
1981-01-02,302.6547546,0
1981-01-03,303.7505798,1.33E-04
1981-01-04,303.9882507,0.001824327
1981-01-05,299.0066223,0.014974915
1981-01-06,298.3947449,0.001192728
1981-01-07,298.3430176,0.0013196
1981-01-08,299.1152649,0.006006359
1981-01-09,296.8256836,0.00932703
1981-01-10,295.0926514,0.001952363
1981-01-11,295.7003479,0.007009624
1981-01-12,297.9152527,0.012298103
1981-01-13,298.6162109,0.003218723
1981-01-14,300.0266418,0.003397557
1981-01-15,299.9085388,0.001346728
1981-01-16,299.2345581,4.75E-04
1981-01-17,300.7223206,2.14E-08
1981-01-18,297.5169067,0.030331045
1981-01-19,296.1711426,0.014771385
1981-01-20,297.6394348,0.010430521
1981-01-21,298.0265198,0.019450758
1981-01-22,297.6065979,0.009043305
1981-01-23,299.1999207,0.008878151
1981-01-24,297.8448792,0.026232084
1981-01-25,298.3630676,0.010891004
